
2025/01/19 (05:24:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (05:24:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (05:24:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (05:24:17) | DEBUG: Shared::init() : Initialized.
2025/01/19 (05:24:17) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (05:25:46) | ===> btop++ v.1.4.0
2025/01/19 (05:25:46) | INFO: Logger set to DEBUG
2025/01/19 (05:25:46) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (05:25:46) | INFO: Running on /dev/pts/1
2025/01/19 (05:25:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (05:25:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (05:25:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (05:25:46) | DEBUG: Shared::init() : Initialized.
2025/01/19 (05:25:46) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (06:41:20) | ===> btop++ v.1.4.0
2025/01/19 (06:41:20) | INFO: Logger set to DEBUG
2025/01/19 (06:41:20) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (06:41:20) | INFO: Running on /dev/pts/2
2025/01/19 (06:41:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (06:41:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (06:41:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (06:41:21) | DEBUG: Shared::init() : Initialized.
2025/01/19 (06:41:21) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (06:43:56) | ===> btop++ v.1.4.0
2025/01/19 (06:43:56) | INFO: Logger set to DEBUG
2025/01/19 (06:43:56) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (06:43:56) | INFO: Running on /dev/pts/2
2025/01/19 (06:43:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (06:43:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (06:43:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (06:43:56) | DEBUG: Shared::init() : Initialized.
2025/01/19 (06:43:56) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (06:44:52) | ===> btop++ v.1.4.0
2025/01/19 (06:44:52) | INFO: Logger set to DEBUG
2025/01/19 (06:44:52) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (06:44:52) | INFO: Running on /dev/pts/3
2025/01/19 (06:44:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (06:44:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (06:44:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (06:44:52) | DEBUG: Shared::init() : Initialized.
2025/01/19 (06:44:52) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (16:27:12) | ===> btop++ v.1.4.0
2025/01/19 (16:27:12) | INFO: Logger set to DEBUG
2025/01/19 (16:27:12) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (16:27:12) | INFO: Running on /dev/pts/0
2025/01/19 (16:27:12) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (16:27:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (16:27:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (16:27:12) | DEBUG: Shared::init() : Initialized.
2025/01/19 (16:27:12) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (17:24:44) | ===> btop++ v.1.4.0
2025/01/19 (17:24:44) | INFO: Logger set to DEBUG
2025/01/19 (17:24:44) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (17:24:44) | INFO: Running on /dev/pts/2
2025/01/19 (17:24:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (17:24:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (17:24:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (17:24:44) | DEBUG: Shared::init() : Initialized.
2025/01/19 (17:24:44) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (17:25:01) | ===> btop++ v.1.4.0
2025/01/19 (17:25:01) | INFO: Logger set to DEBUG
2025/01/19 (17:25:01) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (17:25:01) | INFO: Running on /dev/pts/2
2025/01/19 (17:25:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (17:25:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (17:25:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (17:25:01) | DEBUG: Shared::init() : Initialized.
2025/01/19 (17:25:01) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2025/01/19 (17:50:27) | ===> btop++ v.1.4.0
2025/01/19 (17:50:27) | INFO: Logger set to DEBUG
2025/01/19 (17:50:27) | DEBUG: Using locale en_US.UTF-8
2025/01/19 (17:50:27) | INFO: Running on /dev/pts/2
2025/01/19 (17:50:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/01/19 (17:50:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/01/19 (17:50:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/19 (17:50:27) | DEBUG: Shared::init() : Initialized.
2025/01/19 (17:50:27) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

